Date,rate_ISRG_5D,rate_ISRG_20D,rate_VOO_5D,rate_VOO_20D
2022-09-07,-29.464,-26.869999999999997,-11.664,-9.361
2022-09-08,-28.738,-27.035500000000003,-11.366,-9.4635
2022-09-09,-27.778,-27.080000000000002,-10.912,-9.503499999999999
2022-09-12,-26.669999999999998,-27.139500000000005,-10.162,-9.552
2022-09-13,-26.186,-27.3685,-10.129999999999999,-9.803500000000001
2022-09-14,-26.22,-27.5585,-10.290000000000001,-10.045
2022-09-15,-26.571999999999996,-27.7245,-10.74,-10.311499999999999
2022-09-16,-27.542,-27.943,-11.57,-10.620000000000001
2022-09-19,-28.820000000000004,-28.1755,-12.453999999999999,-10.8545
2022-09-20,-29.589999999999996,-28.384999999999998,-12.774,-11.073
2022-09-21,-30.620000000000005,-28.651,-13.45,-11.358
2022-09-22,-31.838,-29.022499999999997,-14.080000000000002,-11.687000000000001
2022-09-23,-32.878,-29.452499999999997,-14.851999999999999,-12.127500000000001
2022-09-26,-33.82600000000001,-29.774,-15.906,-12.503499999999999
2022-09-27,-34.702000000000005,-30.097999999999995,-16.812,-12.871
2022-09-28,-34.874,-30.2945,-17.18,-13.146
2022-09-29,-35.006,-30.538500000000006,-17.748,-13.483500000000001
2022-09-30,-35.212,-30.8525,-18.288,-13.905499999999998
2022-10-03,-34.68,-30.999000000000002,-18.168,-14.172500000000003
2022-10-04,-33.492000000000004,-30.9925,-17.518,-14.3085
2022-10-05,-32.72,-31.108500000000003,-17.14,-14.515
2022-10-06,-31.971999999999998,-31.346999999999998,-16.595999999999997,-14.791000000000002
2022-10-07,-31.722,-31.8385,-16.264,-15.243500000000001
2022-10-10,-32.182,-32.376999999999995,-16.554,-15.770500000000002
2022-10-11,-33.238,-32.7555,-17.436,-16.135
2022-10-12,-34.251999999999995,-33.1165,-18.338,-16.526999999999997
2022-10-13,-34.742,-33.3895,-18.654,-16.7695
2022-10-14,-35.122,-33.7335,-18.878,-17.070500000000003
2022-10-17,-34.878,-33.8915,-18.582,-17.3025
2022-10-18,-34.342,-33.9435,-17.99,-17.439
2022-10-19,-32.64,-33.621500000000005,-17.464,-17.530499999999996
2022-10-20,-31.154000000000003,-33.2185,-17.482,-17.619999999999997
2022-10-21,-28.724,-32.695,-16.747999999999998,-17.544500000000003
2022-10-24,-26.651999999999997,-32.098,-16.216,-17.380000000000003
2022-10-25,-23.618000000000002,-31.172500000000003,-15.602,-17.1365
2022-10-26,-21.520000000000003,-30.282999999999998,-15.0,-16.9855
2022-10-27,-19.479999999999997,-29.337,-14.356,-16.772
2022-10-28,-17.716,-28.321000000000005,-13.709999999999999,-16.4
2022-10-31,-15.916,-27.407,-13.38,-16.183
2022-11-01,-15.228,-26.6065,-13.325999999999999,-16.0885
2022-11-02,-15.52,-25.982999999999997,-13.568000000000001,-16.0925
2022-11-03,-15.943999999999999,-25.330000000000002,-13.892000000000001,-16.095999999999997
2022-11-04,-16.18,-24.435499999999998,-14.372,-15.927000000000001
2022-11-07,-16.386,-23.458000000000002,-14.581999999999999,-15.690000000000001
2022-11-08,-16.784,-22.493000000000002,-14.696000000000002,-15.4035
2022-11-09,-16.726000000000003,-21.601499999999998,-14.73,-15.1905
2022-11-10,-15.284,-20.4655,-13.697999999999999,-14.857
2022-11-11,-13.784,-19.101,-12.734,-14.391
2022-11-14,-12.798,-17.938,-12.064,-14.060500000000001
2022-11-15,-11.42,-16.7625,-11.342,-13.741499999999998
2022-11-16,-9.85,-15.904,-10.412,-13.4275
2022-11-17,-9.676,-15.095999999999998,-10.426,-13.093
2022-11-18,-9.834,-14.378499999999999,-10.528,-12.836000000000002
2022-11-21,-9.776,-13.719,-10.552000000000001,-12.6445
2022-11-22,-9.873999999999999,-13.326500000000001,-10.488000000000001,-12.463
2022-11-23,-9.812000000000001,-12.977,-10.180000000000001,-12.2225
