Date,rate_LIN,rate_VOO,Sector,rate_META
2024-06-21,34.28,22.04,none,77.01
2024-06-24,34.39,21.72,none,78.25
2024-06-25,33.8,22.14,none,82.1
2024-06-26,32.98,22.26,none,82.93
2024-06-27,33.52,22.42,none,85.05
2024-06-28,33.09,21.66,none,80.0
2024-07-01,29.64,21.54,none,78.84
2024-07-02,29.98,22.15,none,80.47
2024-07-03,30.83,22.58,none,80.62
2024-07-05,31.65,23.16,none,90.76
2024-07-08,31.66,23.25,none,87.18
2024-07-09,30.3,23.35,none,87.38
2024-07-10,31.42,24.29,none,88.76
2024-07-11,31.41,23.45,none,82.28
2024-07-12,33.14,24.05,none,78.21
2024-07-15,32.39,24.34,none,77.41
2024-07-16,34.78,24.68,none,75.11
