Date,rate_CMCSA_5D,rate_CMCSA_20D,rate_VOO_5D,rate_VOO_20D
2023-03-21,-17.958,-17.631,-9.384,-9.181000000000001
2023-03-22,-17.82,-17.807,-9.190000000000001,-9.2245
2023-03-23,-17.942,-17.9755,-9.248000000000001,-9.275
2023-03-24,-17.994,-18.076500000000003,-9.069999999999999,-9.2765
2023-03-27,-18.006,-18.160500000000003,-9.02,-9.283
2023-03-28,-18.248,-18.2195,-9.232000000000001,-9.282
2023-03-29,-17.912,-18.183,-8.894,-9.2135
2023-03-30,-17.381999999999998,-18.157999999999998,-8.49,-9.147
2023-03-31,-16.488,-18.0775,-7.8740000000000006,-9.079
2023-04-03,-15.703999999999999,-17.9545,-7.19,-8.991000000000001
2023-04-04,-15.047999999999998,-17.7605,-6.578,-8.8625
2023-04-05,-14.55,-17.518,-6.264,-8.7515
2023-04-06,-14.244,-17.253999999999998,-5.988,-8.545
2023-04-10,-14.038,-16.912,-5.9479999999999995,-8.274
2023-04-11,-13.872,-16.575499999999998,-6.004,-7.9955
2023-04-12,-13.931999999999999,-16.2965,-6.029999999999999,-7.806
2023-04-13,-13.874,-16.038999999999998,-5.772,-7.529999999999999
2023-04-14,-13.754,-15.830499999999997,-5.622,-7.337000000000001
2023-04-17,-13.818000000000001,-15.5845,-5.428,-7.08
2023-04-18,-13.866,-15.362,-5.224,-6.8595
2023-04-19,-13.591999999999999,-15.204999999999998,-4.948,-6.697
2023-04-20,-13.736,-15.018,-5.018000000000001,-6.487
2023-04-21,-13.836000000000002,-14.803999999999998,-5.037999999999999,-6.2845
2023-04-24,-14.232,-14.644,-5.098000000000001,-6.087
2023-04-25,-14.85,-14.572999999999999,-5.42,-5.9595
2023-04-26,-15.63,-14.550500000000003,-5.8100000000000005,-5.841500000000001
2023-04-27,-14.482000000000003,-14.160500000000003,-5.786,-5.71
2023-04-28,-12.84,-13.6685,-5.638,-5.5715
2023-05-01,-10.814,-13.2255,-5.504,-5.4944999999999995
2023-05-02,-8.844,-12.858,-5.316,-5.4910000000000005
2023-05-03,-6.8420000000000005,-12.498999999999999,-5.176,-5.4910000000000005
2023-05-04,-6.8340000000000005,-12.2315,-5.47,-5.5115
2023-05-05,-7.2299999999999995,-11.915000000000001,-5.588,-5.471500000000001
2023-05-08,-7.7,-11.641000000000002,-5.708,-5.4345
2023-05-09,-8.412,-11.493,-5.71,-5.4174999999999995
2023-05-10,-8.876,-11.235,-5.514,-5.362
2023-05-11,-8.809999999999999,-10.9655,-5.218000000000001,-5.372999999999999
2023-05-12,-8.91,-10.703999999999999,-5.258,-5.3805000000000005
2023-05-15,-9.086,-10.458,-5.244,-5.3885
2023-05-16,-9.032,-10.2845,-5.274,-5.430000000000001
2023-05-17,-8.838000000000001,-10.0465,-5.166,-5.416500000000001
2023-05-18,-8.412,-9.6345,-4.85,-5.331
2023-05-19,-7.974000000000001,-9.238499999999998,-4.54,-5.255999999999999
2023-05-22,-7.5040000000000004,-8.776,-4.28,-5.184
2023-05-23,-7.215999999999999,-8.376,-4.109999999999999,-5.1025
