Date,rate_ALB,rate_VOO,Sector
2024-05-21,-37.58,19.19,Basic Materials
2024-05-22,-37.65,18.84,Basic Materials
2024-05-23,-39.38,17.97,Basic Materials
2024-05-24,-37.11,18.76,Basic Materials
2024-05-28,-37.03,18.86,Basic Materials
2024-05-29,-39.14,18.03,Basic Materials
2024-05-30,-38.98,17.25,Basic Materials
2024-05-31,-39.56,18.26,Basic Materials
2024-06-03,-39.72,18.08,Basic Materials
2024-06-04,-40.98,18.22,Basic Materials
2024-06-05,-40.81,19.6,Basic Materials
2024-06-06,-41.04,19.58,Basic Materials
2024-06-07,-42.63,19.43,Basic Materials
2024-06-10,-43.06,19.81,Basic Materials
2024-06-11,-43.11,20.08,Basic Materials
2024-06-12,-43.76,21.06,Basic Materials
2024-06-13,-45.94,21.28,Basic Materials
2024-06-14,-48.28,21.38,Basic Materials
2024-06-17,-49.7,22.32,Basic Materials
2024-06-18,-50.24,22.64,Basic Materials
2024-06-20,-53.1,22.31,Basic Materials
2024-06-21,-52.67,22.04,Basic Materials
2024-06-24,-51.8,21.72,Basic Materials
2024-06-25,-53.6,22.14,Basic Materials
2024-06-26,-49.88,22.26,Basic Materials
2024-06-27,-51.87,22.42,Basic Materials
2024-06-28,-52.24,21.66,Basic Materials
2024-07-01,-50.46,21.54,Basic Materials
2024-07-02,-50.63,22.15,Basic Materials
2024-07-03,-49.13,22.58,Basic Materials
2024-07-05,-49.99,23.16,Basic Materials
2024-07-08,-49.59,23.25,Basic Materials
2024-07-09,-53.94,23.35,Basic Materials
2024-07-10,-50.72,24.29,Basic Materials
2024-07-11,-50.2,23.45,Basic Materials
2024-07-12,-50.24,24.05,Basic Materials
2024-07-15,-51.43,24.34,Basic Materials
2024-07-16,-50.19,24.68,Basic Materials
